ans_id,code,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,V090,V091,V092,V093,V094,V095,V002,V003,V004_1,V004_2,V088,V005,V006,V007,V066,V067,V067_o,V008,V012,V010,V010_o,V045,V013_1,V013_2,V013_3,V013_4,V014,V015,V015_o,V016,V017,V018,V019,V019_1,V086_1,V086_2,V086_3,V086_4,V086_5,V086_6,V071,V022,V023_1,V023_2,V023_3,V076,V076_o,V077,V024_1,V024_2,V083,V083_o,V025_1,V025_2,V025_3,V025_4,V025_5,V082,V082_o,V087_1,V087_2,V087_3,V087_4,V087_5,V027_1,V027_2,V027_3,V027_4,V027_5,V028,V085_1,V085_2,V085_3,V085_4,V100_1,V100_2,V100_3,V100_4,V100_5,V100_6,V100_7,V038,V039,V041,V048_1,V048_2,V048_3,V048_4,V049,V081,V081_o,V050,V051_1,V051_2,V052_1,V052_2,V052_3,V052_4,V052_5,V053_1,V053_2,V053_3,V053_4,V053_5,V054,V084_1,V084_2,V084_3,V084_4,V064a_1,V064a_2,V064a_3,V064a_4,V064a_5,V064a_6,V064a_7,V064b,V064c,V065,V097,V069,V089,V089_o,V020,V073,V074,V075,V078,V078_o,V079,V079_o,V096a,V096b,V096c,V096d,V096e,V096f,starttime,externalid,verzending,language,referer,completed,survey_panelId,survey_respondentId,survey_lastQuestion
5,Zju3jqsybryrKFdf8frse9prBz,,,,,,,,,,,1,1,2,3,1,1,2,36,2,2,1019,10,5,1,2,5,,1,8,2,0,1,5,5,5,5,7,5,,1,5,2,1,2,5,3,4,3,5,3,4,7,2,1,5,5,Werk,2,1,2,2,,2,3,5,2,4,5,0,3,3,4,5,2,2,2,1,2,1,2,5,2,2,3,1,4,2,3,5,6,7,2,Geen idee,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,408,4,6,,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:02 PM,,0,0,https://m.facebook.com,1,0,0,V9999
7,Xw5HgzHVePWqvKD2rQNTDBN4Em,,,,,,,,,,,2,3,6,3,3,3,2,23,2,2,5215,1,5,1,1,5,,1,6,3,0,1,3,1,3,4,6,5,,1,3,1,2,99999,5,5,5,5,1,5,4,8,2,3,5,3,,2,2,2,2,,1,3,5,1,4,5,0,5,5,5,3,1,3,2,1,4,1,1,4,4,2,2,3,2,4,1,5,6,7,1,-,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,30,4,6,,1,1,1,1,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:04 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
8,efyHcsy4cxaQRBRcRsrj4Mjw5S,,,,,,,,,,,5,6,6,4,5,2,2,29,2,1,5014,1,5,1,1,5,,1,6,3,0,1,4,4,4,4,7,2,,1,5,2,1,1,5,4,5,5,2,4,4,7,3,4,4,2,,2,2,2,1,,2,4,4,2,4,20,0,5,5,5,4,2,2,2,2,2,2,2,4,3,2,3,3,4,2,1,6,7,5,2,geen een,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,60,4,1,,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:05 PM,,0,0,http://www.hzt.nl/romeoenjulia,1,0,0,V9999
9,NB4UrU2AM3BV3CCwvJ3dkjUnR7,,,,,,,,,,,1,2,2,4,5,3,2,48,2,2,1052,10,3,2,2,1,,1,8,4,0,1,1,5,2,1,7,3,,1,2,2,1,1,1,2,1,1,5,1,3,10,5,4,5,2,,2,2,2,7,eerlijk vertellen,3,4,4,1,4,99999,1,5,5,5,1,1,1,1,1,4,2,1,4,4,1,3,5,6,4,7,3,2,1,2,brad pitt,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,204,1,6,,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:06 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
10,rDY24dXV25ZVdGhYZpp9xpMSP4,,,,,,,,,,,1,3,2,2,5,1,2,35,2,1,9602,6,3,2,1,1,,1,8,6,0,1,4,4,4,4,7,2,,5,2,2,1,2,5,5,5,5,5,5,3,9,4,5,4,2,,2,2,2,2,,2,3,3,3,4,12,0,5,5,5,1,1,3,2,3,4,5,2,4,4,1,5,4,2,3,1,7,6,5,6,Johnny depp,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,180,1,1,,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:07 PM,,0,0,/direct/romeo&julia,1,0,0,V9999
11,zhEGRQV5V4nPZgC95sht4Dkd4P,,,,,,,,,,,1,6,2,4,5,5,2,27,2,2,2011,10,5,1,1,2,,1,5,2,0,2,5,4,4,5,4,3,,1,5,2,2,99999,5,4,5,4,1,5,3,8,4,2,4,2,,1,2,2,2,,2,5,4,2,4,15,0,4,4,4,4,2,2,1,2,3,4,2,4,4,3,4,2,5,1,4,7,6,3,4,-,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,18,1,10,karakters verschilden te veel,1,1,2,2,1,,4,ook eens willen uitproberen,99999,99999,99999,99999,99999,99999,11/12/14 03:07 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
12,Rm7uN5H8gZJFatE9pa6jwJncu6,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,31,2,1,5216,1,5,2,1,1,,1,1,1,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,4,2,1,1,3,1,0,2,2,2,5,5,4,2,4,1,4,3,2,2,2,5,3,2,4,3,2,0,3,0,2,0,4,eigenlijk geen beroemdheid om het feit dat het een beroemdheid is maar als ik dan toch iemand moet kiezen Ron Blauw,1,6,2,8,,99999,99999,99999,99999,99999,,99999,,1,6,6,4,5,1,11/12/14 03:09 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
13,ATXrrfQnukEqgX46feUu96dSr2,,,,,,,,,,,1,2,2,2,5,5,1,23,1,1,1402,10,4,1,2,5,,2,5,1,0,2,2,1,3,4,2,7,Profielen website,5,3,1,2,99999,5,4,4,3,1,3,1,8,5,5,4,3,,2,2,2,1,,2,3,4,2,4,3,0,4,3,4,4,1,3,2,2,1,1,2,3,4,5,2,7,3,4,6,5,2,1,3,"geen, geen interesse in beroemdheden",2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,3,3,9,,2,2,1,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:11 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
15,RPz7XrvHYtQgfJ47KMhv6NWEqw,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,36,2,1,3532,9,5,2,2,5,,1,2,5,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,5,4,4,4,7,20,0,4,2,2,2,4,4,2,5,4,1,4,2,4,2,5,4,2,4,2,2,2,2,1,1,0,2,Barry Atsma,1,72,1,6,,99999,99999,99999,99999,99999,,99999,,1,6,6,4,5,1,11/12/14 03:18 PM,,0,0,https://www.facebook.com/l.php?u=https%3A%2F%2Fdynamic-concepts.socratos.net%2Fdirect%2Fromeo%26julia&h=iAQHAs_4G&enc=AZPkMCRWk_HLyCCKx0Iy46qpckdzp4kA4FwzYHgazFkx2HX5nDbaEqL64POmyMnUScZa8377yg7z2PyPan4voY9gN6-626yqqZJpXlkg0nbgfg39Yl7z2cMUx9EymZj_nOfJ3DPzN,1,0,0,V9999
16,tYPbZuukwZYHEne5ASHzsZ4Hw7,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,32,2,1,6224,2,5,3,1,5,,1,2,3,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,5,3,4,3,8,20,0,2,2,2,3,4,4,2,5,4,2,5,1,5,2,4,2,3,3,3,2,2,0,1,1,1,3,Scarlett Johansson,2,36,2,8,,99999,99999,99999,99999,99999,,99999,,1,2,1,2,5,1,11/12/14 03:19 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
