ans_id,code,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,BNN1relatiea1,BNN1relatiea1_o,V104,BNN1relatieb_1,BNN1relatieb_2,BNN1relatieb_3,BNN1relatieb_4,BNN1relatieb_5,BNN1relatieb_6,BNN1relatieb_7,BNN1relatieb_8,BNN1relatieb_9,BNN1relatieb_10,BNN1relatiec_1,BNN1relatiec_2,BNN1relatiec_3,BNN1relatiec_4,BNN1singlesa1,BNN1singlesa1_o,V116,BNN1singlesb_1,BNN1singlesb_2,BNN1singlesb_3,BNN1singlesb_4,BNN1singlesb_5,BNN1singlesb_6,BNN1singlesb_7,BNN1singlesb_8,BNN1singlesb_9,BNN1singlesb_10,BNN1singlesc_1,BNN1singlesc_2,BNN1singlesc_3,BNN1singlesc_4,BNN2relatiea,BNN2relatiea_1,BNN2relatiea_2,BNN2relatieb,BNN2relatiec1,BNN2relatiec1_o,BNN2singlesa,BNN2singlesa_1,BNN2singlesa_2,BNN2singlesb,BNN2singlesc1,BNN2singlesc1_o,BNN3relatiea,BNN3relatieb,BNN3relatiec,BNN3singlesa,BNN3singlesb,BNN3singlesc,V016,V090,V091,V092,V093,V094,V095,V002,V003,V004_1,V004_2,V088,V005,V006,V007,V066,V067,V067_o,V008,V012,V010,V010_o,V045,V013_1,V013_2,V013_3,V013_4,V014,V015,V015_o,V019,V019_1,V086_1,V086_2,V086_3,V086_4,V086_5,V086_6,V071,V022,V023_1,V023_2,V023_3,V076,V076_o,V077,V024_1,V024_2,V083,V083_o,V025_1,V025_2,V025_3,V025_4,V025_5,V082,V087_1,V087_2,V087_3,V087_4,V087_5,V027_1,V027_2,V027_3,V027_4,V027_5,V028,V085_1,V085_2,V085_3,V085_4,V100_1,V100_2,V100_3,V100_4,V100_5,V100_6,V100_7,V038,V039,V041,V048_1,V048_2,V048_3,V048_4,V049,V122,V050,V051_1,V051_2,V052_1,V052_2,V052_3,V052_4,V052_5,V053_1,V053_2,V053_3,V053_4,V053_5,V054,V084_1,V084_2,V084_3,V084_4,V102_1,V102_2,V102_3,V102_4,V102_5,V102_6,V102_7,V064b,V064c,V065,V097,V069,V089,V089_o,V020,V073,V074,V075,V078,V078_o,V079,V079_o,V096a,V096b,V096c,V096d,V096e,V096f,V017,V018,starttime,externalid,verzending,language,referer,completed,survey_panelId,survey_respondentId,survey_lastQuestion
16,a4b6ggfFfK5yckH7tbSEE2xeEY,,,,,,,,,,,1,,Na 40 jaar nog altijd verliefd.,0,1,0,1,0,0,0,0,1,0,2,3,4,4,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,2,99999,geen behoefte aan.,3,chips en chocolade,0,99999,,,99999,,99999,1,uit eten naar een voorstelling,1,99999,,99999,99999,1,3,6,4,2,1,2,36,2,2,5014,1,5,2,1,1,,1,6,7,0,1,3,3,2,4,7,3,,1,1,5,4,5,4,2,5,4,9,5,5,5,3,,2,2,2,2,,1,5,5,2,5,15,4,4,4,3,2,3,1,3,3,2,2,5,5,2,4,5,4,7,6,3,2,1,2,Mike Libanon,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,111,1,1,,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,5,3,01/05/15 10:48 AM,,0,0,http://www.hzt.nl/testpagina-onderzoek,1,0,0,V9999
22,vwGrha9RqHgV4xQQ2cMvqP7rKV,,,,,,,,,,,4,,Geen idee,0,1,0,0,1,0,0,1,0,0,2,3,5,1,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,Dldo,99999,1,,1,99999,,,99999,,99999,1,Film,1,99999,,99999,99999,1,3,1,3,3,1,1,50,1,2,5663,1,5,3,2,1,,1,8,4,0,1,4,4,3,2,7,2,,1,3,4,4,4,3,5,4,2,8,1,5,4,4,,2,1,2,1,,1,2,5,2,4,7,5,5,5,4,2,4,4,4,3,2,2,2,2,3,3,7,4,5,6,2,1,3,3,Meryl Streep,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,12,1,10,Verveling,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,4,1,01/05/15 02:02 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
25,sXEr4Tyzxxq7AWG3fNqeKTDU7h,,,,,,,,,,,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,4,,"Ze zijn de eerste voor elkaar, vullen elkaar aan, nooit getwijfeld of het voor altijd zou zijn, beide nooit tegenslagen gekekend. Jaloersmakend perfect",1,1,0,1,0,0,0,0,0,0,3,4,2,5,99999,,,99999,,99999,1,vibrator (als ik alleen ben),99999,1,,1,99999,,99999,1,Met vrienden naar de kroeg (wat drinken) later op de avond de dansvloer op. Concerten Bios  Theater ,2,99999,99999,99999,99999,99999,99999,99999,2,29,2,2,5025,1,5,1,2,2,,3,2,5,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,5,2,4,3,6,10,3,2,2,1,4,3,3,4,5,3,4,2,4,2,1,4,2,4,5,6,4,7,2,1,3,4,Alexander Skarsgård ,2,30,2,10,mijn onzekerheid / verlatingsangst,99999,99999,99999,99999,99999,,99999,,1,6,3,4,5,3,99999,99999,01/05/15 02:15 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
27,gxpf3QseQvnBJY4afhUWxwpfHb,,,,,,,,,,,4,,"Ze laten elkaar in hun eigen waarde, houden van elkaar en hebben samen een kindje gekregen.",1,1,0,0,0,0,0,1,0,0,2,3,2,4,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,2,99999,nooit geprobeerd,1,,1,99999,,,99999,,99999,1,"bioscoop, cafe, restaurant",2,99999,,99999,99999,1,2,3,3,1,1,2,30,2,1,2032,10,5,3,1,5,,1,7,3,0,1,3,2,3,2,7,1,,2,99999,5,4,4,5,2,4,4,8,3,2,4,1,,1,2,2,2,,1,4,5,1,4,3,5,5,5,4,1,4,1,2,3,2,1,4,2,4,2,2,5,3,1,6,7,4,2,Daar heb ik echt geen idee van.,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,72,4,6,,1,1,2,1,1,,1,,99999,99999,99999,99999,99999,99999,5,2,01/05/15 02:25 PM,,0,0,http://www.hzt.nl/romeoenjulia,1,0,0,V9999
29,cdEn6CMWcxcj2Sm2FWMGdrNJRJ,,,,,,,,,,,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,19,bestaat die ???," Een ideale relatie bestaat niet, het werken er naar toe wel",1,0,0,0,0,1,0,0,1,0,2,4,4,3,99999,,,99999,,99999,2,99999,niet nodig,3,,1,99999,,99999,1,"Biertje drinken , gesprekken",2,99999,99999,99999,99999,99999,99999,99999,1,57,2,2,5235,1,5,1,1,1,,1,3,4,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,3,3,2,5,2,70,3,2,2,1,3,5,5,4,3,1,1,2,4,2,4,3,1,5,2,3,4,1,5,7,6,2,geen idee,1,68,2,10,uit elkaar groeien,99999,99999,99999,99999,99999,,99999,,5,6,6,4,5,1,99999,99999,01/05/15 03:09 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
31,GXe2nfJbsMeEWET5nPhSXVghdw,,,,,,,,,,,1,,Genieten nog steeds elke dag van elkaar en lijken ook nog steeds verliefd.,0,0,1,1,0,1,0,0,0,0,2,4,4,3,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,2,99999,gedoe,3,Mijn vriendin,0,99999,,,99999,,99999,1,Naar de stamkroeg.,2,99999,,99999,99999,1,1,1,4,5,1,1,26,2,2,1091,10,5,3,1,5,,1,6,3,0,1,4,3,2,4,6,7,"Op schoolreis. Zaten beide op andere universiteit, in venetie.",2,99999,5,5,5,5,2,5,4,8,3,1,5,2,,2,1,2,3,,2,3,4,4,2,12,5,5,5,4,1,1,2,2,4,1,2,5,2,1,5,6,4,7,5,2,1,3,1,Carolien borgers,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,40,1,10,"Ik naar groningen verhuist, zij anorexia, ik mij aan andere vrouwen genoten",1,1,2,1,99999,,99999,,99999,99999,99999,99999,99999,99999,5,1,01/05/15 03:13 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
32,9NeWetPyyd5geWZqBNhAHTvstj,,,,,,,,,,,19,Ik ken niemand met DE IDEALE relatie. Ik zou niet weten hoe die eruit ziet...,"Mijn associatie met IDEAAL is dat deze op een bepaalde manier perfect is. Dat kan niet in een relatie. Dus als we daar vanuit gaan, is mijn eigen relatie misschien wel perfect. Liefdevol, met veel ontwikkeling, nieuwe grootse plannen en regelmatig een paar flink saaie dagen, dat alles maar gaat zoals het gaat en je elkaar kwijt raakt. Veranderlijk. Zoals het leven! Wat een cliché he, maar ja, op emotioneel gebied is het al snel cliché. Zolang een relatie niet star wordt zit je behoorlijk goed. ",0,0,1,0,0,1,0,1,0,0,1,1,4,2,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,"WeVibe, Anal Beads",99999,1,Prosecco. En Surinaams. En Ben&amp;Jerry's. En mijn vriend,0,99999,,,99999,,99999,1,"Hahaha, de optie 0 x zit er niet bij. Ik heb net een kindje gekregen, dus uitgaan is er weinig bij. Als het lukt ga ik naar de film/uit eten/theater/een kroeg om bier te drinken en te praten. Ik kan me niet herinneren wanneer ik op een echt feest was.",2,99999,,99999,99999,5,6,6,4,5,5,2,28,1,2,2242,11,5,1,2,5,,1,6,2,0,1,4,3,3,3,6,7,Via familie,1,1,5,3,5,3,2,4,4,8,4,2,4,3,,2,2,2,2,,1,3,4,2,5,18,5,3,5,5,1,2,1,1,4,2,2,3,3,2,4,1,5,2,3,4,7,6,8,Ik heb nog nooit zo'n gedachte bij en beroemdheid gehad. Ik geloof dat een beroemdheid per definitie geen ideale partner is. Een beroemdheid kan spannend en geil zijn vanwege zijn onbereikbaarheid. Het is een fantasie. Geen mogelijke partner.,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,39,1,10,Omdat wij anders begonnen te denken over het heden. Over hoe het leven te willen leven.,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,5,1,01/05/15 03:13 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
36,q8p9vHCsv5CrpAKpWkpZUguTyA,,,,,,,,,,,19,die bestaat niet en ik vind het ook niet interessant om naar een dergelijk ideaal te streven,ideaal zit niet in hoe iemand anders het doet. het gaat erom hoe je het zelf doet. het plaatje van een ander zegt me niets. ,1,0,1,0,1,0,0,0,0,0,2,2,2,2,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,2,99999,niet nodig,3,,1,99999,,,99999,,99999,3,"meestal naar het theater gaan, soms naar de kroeg  meestal met vrienden",2,99999,,99999,99999,1,2,2,4,1,1,2,29,2,1,1057,10,5,2,1,5,,1,6,4,0,2,2,4,2,3,7,1,,2,99999,5,4,4,4,4,4,4,8,4,3,4,3,,1,1,2,4,,1,3,4,4,4,7,4,4,4,4,1,2,2,2,2,2,2,2,2,2,4,1,3,4,2,5,6,7,2,joost karhof,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,120,1,8,,1,1,2,2,4,happy vpro,2,,99999,99999,99999,99999,99999,99999,5,2,01/05/15 03:22 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
37,vcvJVMaA6KWGuZJgrtUHqVKyux,,,,,,,,,,,4,,Daarom,0,0,1,0,0,1,0,1,0,0,2,4,5,2,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,condooms,99999,1,Chips ,0,99999,,,99999,,99999,2,kroeghangen. ,2,99999,,99999,99999,1,1,3,1,2,3,1,29,2,1,1080,10,5,3,1,5,,1,6,4,0,1,5,3,4,4,7,3,,2,99999,5,4,4,4,2,4,4,7,4,2,4,3,,2,2,2,1,,2,4,4,2,4,10,5,4,4,4,2,3,3,2,2,2,2,1,1,1,3,5,4,6,7,3,2,1,3,Boeiend ,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,3,50,2,6,,1,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,5,2,01/05/15 03:24 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
39,C2NX8tb7tfPptFfJc3NvndvC7P,,,,,,,,,,,99999,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,4,,I don't know,0,0,0,0,0,0,0,0,0,1,3,3,3,3,99999,,,99999,,99999,2,99999,Nog geen seks,1,,1,99999,,99999,1,Bij de vrienden feesten of fuiven.,2,99999,99999,99999,99999,99999,99999,99999,1,18,1,1,9200,13,1,2,1,1,,1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,2,2,2,3,4,7,0,1,2,2,3,3,3,3,3,4,4,1,1,2,1,5,1,5,1,3,1,2,5,6,4,7,6,Selene gomez ,1,4,1,6,,99999,99999,99999,99999,99999,,99999,,1,3,1,1,1,1,99999,99999,01/05/15 03:34 PM,,0,0,http://www.hzt.nl/onderzoek,1,0,0,V9999
