Bladel,8
Westervoort,1
Assen,10
Bergen op Zoom,9
Waalre,1
Twenterand,5
Noordenveld,6
Noordoostpolder,15
Duiven,1
Nijkerk,4
Voorst,5
Oldebroek,2
Schermer,1
Almere,35
Berkelland,1
Bronckhorst,10
Echt-Susteren,7
Sluis,2
Strijen,1
Littenseradiel,2
Vlaardingen,2
Deventer,31
Molenwaard,1
Veendam,5
Wijchen,10
De Friese Meren,11
Elburg,3
Rheden,8
Zuidplas,1
Coevorden,4
Lelystad,9
Weststellingwerf,4
Nieuwkoop,4
's-Hertogenbosch,81
Eindhoven,61
Hengelo,10
Beverwijk,2
Haaksbergen,4
Castricum,4
Beuningen,2
Utrecht,224
Bellingwedde,1
Edam-Volendam,2
Soest,5
Venray,12
Woerden,8
Uden,5
Beemster,1
Tilburg,141
Vught,12
Buren,3
Boekel,2
Leusden,4
Dalfsen,3
Renkum,6
Winsum,4
Kerkrade,10
Giessenlanden,4
Schiedam,7
Winterswijk,3
Cromstrijen,1
Tynaarlo,7
Sint Anthonis,2
Ridderkerk,4
Bussum,7
Roosendaal,22
Druten,2
Tytsjerksteradiel,8
Blaricum,2
Maastricht,47
Maasdriel,4
Amersfoort,39
Zundert,5
Oss,4
Simpelveld,3
Zeevang,1
Lansingerland,1
Zoetermeer,6
Velsen,4
Sittard-Geleen,25
Lingewaal,1
Harlingen,5
Lopik,4
Montferland,4
Sint-Oedenrode,4
Huizen,10
Stichtse Vecht,13
Zwolle,49
Urk,2
Pekela,2
Diemen,12
Terschelling,2
Tholen,11
Ede,11
Veenendaal,6
Vlagtwedde,1
Landgraaf,5
Vlist,1
Eemsmond,2
Veghel,6
Eemnes,1
Putten,1
Katwijk,7
Heerde,1
Veere,3
De Bilt,8
Nieuwegein,4
Ouder-Amstel,2
Doesburg,2
Dongeradeel,6
Baarn,3
Kaag en Braassem,3
Alkmaar,11
Zeist,22
Schagen,5
Helmond,15
Son en Breugel,2
Ermelo,3
Cranendonck,4
Nijmegen,87
Loppersum,1
Zwartewaterland,2
Borne,1
Roermond,16
Schoonhoven,2
Heusden,11
Marum,2
Maassluis,2
Westland,15
Culemborg,8
Leiden,28
Onderbanken,2
Zandvoort,1
Bergambacht,1
Grave,1
Arnhem,25
Breda,99
Heiloo,3
Vlissingen,11
Venlo,26
Lochem,4
Emmen,15
Kapelle,4
Oisterwijk,10
Borger-Odoorn,5
Rijswijk,5
Voerendaal,3
Mook en Middelaar,1
Ooststellingwerf,4
Goes,11
's-Gravenhage,58
Bunschoten,3
Gorinchem,4
Waalwijk,15
Tiel,5
Oud-Beijerland,1
Goirle,5
Hoorn,2
Franekeradeel,3
Halderberge,7
Zeewolde,3
Vlieland,1
Wormerland,1
Spijkenisse,5
Hellevoetsluis,8
Zuidhorn,2
Langedijk,7
Midden-Delfland,3
Ommen,1
Borsele,6
Someren,3
Boxtel,4
Zaanstad,16
Hof van Twente,7
Zederik,1
Opsterland,6
Losser,2
Waterland,2
Oldambt,4
Oldenzaal,3
Valkenburg aan de Geul,5
Dordrecht,16
Wierden,4
Papendrecht,3
Leerdam,4
Bergen (NH.),1
Delft,12
Purmerend,6
Krimpen aan den IJssel,2
Aalten,5
Capelle aan den IJssel,2
Gilze en Rijen,4
Brummen,1
Medemblik,2
Bedum,3
Leidschendam-Voorburg,4
Vaals,1
Veldhoven,6
Harderwijk,4
Dronten,7
Oudewater,1
Eijsden-Margraten,8
Sint-Michielsgestel,11
Hellendoorn,9
Schouwen-Duiveland,5
Westerveld,1
Zevenaar,4
Dongen,2
Hilversum,13
Súdwest-Fryslân,14
Gennep,5
Roerdalen,3
Woudenberg,2
Deurne,3
Hattem,1
Maasgouw,6
Barneveld,8
Weesp,4
Gulpen-Wittem,8
Kollumerland en Nieuwkruisland,2
Aa en Hunze,8
Ferwerderadiel,2
Uitgeest,1
Zaltbommel,5
Menameradiel,4
Woudrichem,1
Stein,4
Lingewaard,11
Goeree-Overflakkee,19
Zwijndrecht,5
Almelo,11
Oude IJsselstreek,5
Schijndel,12
Ubbergen,4
Horst aan de Maas,7
Drechterland,1
Voorschoten,2
Rhenen,3
Groningen,203
Etten-Leur,9
Maasdonk,2
Hoogeveen,10
Haaren,4
Apeldoorn,27
Den Helder,5
Oegstgeest,2
Smallingerland,20
Oosterhout,13
Hulst,7
Drimmelen,4
Montfoort,2
Aalburg,2
Uithoorn,1
Hardinxveld-Giessendam,1
Heerenveen,9
Hoogezand-Sappemeer,7
Midden-Drenthe,5
Haren,3
Laarbeek,1
Pijnacker-Nootdorp,6
Rucphen,4
Geertruidenberg,5
Albrandswaard,2
Geldermalsen,1
Rijnwaarden,1
Oost Gelre,5
Sliedrecht,3
Enkhuizen,3
Brunssum,5
Rijssen-Holten,8
Appingedam,1
Terneuzen,12
Nuenen, Gerwen en Nederwetten,2
Vianen,6
Menterwolde,3
Hendrik-Ido-Ambacht,1
Nuth,2
Binnenmaas,4
Alphen aan den Rijn,14
Delfzijl,6
Heerhugowaard,5
Heemskerk,5
Koggenland,2
Steenwijkerland,13
Leiderdorp,3
Moerdijk,5
Cuijk,4
Noordwijk,3
Leeuwarden,76
Zutphen,5
Kampen,11
Stede Broec,3
Weert,16
De Wolden,4
Beek,1
Leeuwarderadeel,2
Alphen-Chaam,1
Renswoude,1
Stadskanaal,7
IJsselstein,6
Barendrecht,5
Hillegom,3
Wageningen,10
Tubbergen,3
Leudal,9
Middelburg,10
Epe,1
Mill en Sint Hubert,1
Olst-Wijhe,5
Werkendam,2
Bernheze,8
Houten,23
Achtkarspelen,2
Hollands Kroon,3
Hilvarenbeek,2
Best,4
Peel en Maas,7
Geldrop-Mierlo,12
Gemert-Bakel,5
Waddinxveen,3
Meppel,11
De Marne,1
Rotterdam,91
Wijk bij Duurstede,4
Meerssen,4
Bodegraven-Reeuwijk,6
Staphorst,2
Woensdrecht,3
Groesbeek,3
Dinkelland,3
Lisse,2
het Bildt,1
Boxmeer,3
Enschede,53
Doetinchem,9
Grootegast,4
Gouda,11
Haarlem,22
Raalte,3
West Maas en Waal,1
Reimerswaal,4
Utrechtse Heuvelrug,8
Bloemendaal,3
Haarlemmermeer,6
Overbetuwe,9
De Ronde Venen,4
Beesel,1
Valkenswaard,2
Amsterdam,189
Hardenberg,15
Heerlen,23
Amstelveen,7
Loon op Zand,9
Oirschot,3
Ten Boer,1
Baarle-Nassau,1
Ouderkerk,1
