zip,state
1000,Noord-Holland
1001,Noord-Holland
1002,Noord-Holland
1003,Noord-Holland
1005,Noord-Holland
1006,Noord-Holland
1007,Noord-Holland
1008,Noord-Holland
1009,Noord-Holland
1011,Noord-Holland
1012,Noord-Holland
1013,Noord-Holland
1014,Noord-Holland
1015,Noord-Holland
1016,Noord-Holland
1017,Noord-Holland
1018,Noord-Holland
1019,Noord-Holland
1020,Noord-Holland
1021,Noord-Holland
1022,Noord-Holland
1023,Noord-Holland
1024,Noord-Holland
1025,Noord-Holland
1026,Noord-Holland
1027,Noord-Holland
1028,Noord-Holland
1030,Noord-Holland
1031,Noord-Holland
1032,Noord-Holland
1033,Noord-Holland
1034,Noord-Holland
1035,Noord-Holland
1036,Noord-Holland
1037,Noord-Holland
1040,Noord-Holland
1041,Noord-Holland
1042,Noord-Holland
1043,Noord-Holland
1044,Noord-Holland
1045,Noord-Holland
1046,Noord-Holland
1047,Noord-Holland
1051,Noord-Holland
1052,Noord-Holland
1053,Noord-Holland
1054,Noord-Holland
1055,Noord-Holland
1056,Noord-Holland
1057,Noord-Holland
1058,Noord-Holland
1059,Noord-Holland
1060,Noord-Holland
1061,Noord-Holland
1062,Noord-Holland
1063,Noord-Holland
1064,Noord-Holland
1065,Noord-Holland
1066,Noord-Holland
1067,Noord-Holland
1068,Noord-Holland
1069,Noord-Holland
1070,Noord-Holland
1071,Noord-Holland
1072,Noord-Holland
1073,Noord-Holland
1074,Noord-Holland
1075,Noord-Holland
1076,Noord-Holland
1077,Noord-Holland
1078,Noord-Holland
1079,Noord-Holland
1080,Noord-Holland
1081,Noord-Holland
1082,Noord-Holland
1083,Noord-Holland
1086,Noord-Holland
1087,Noord-Holland
1090,Noord-Holland
1091,Noord-Holland
1092,Noord-Holland
1093,Noord-Holland
1094,Noord-Holland
1095,Noord-Holland
1096,Noord-Holland
1097,Noord-Holland
1098,Noord-Holland
1099,Noord-Holland
1100,Noord-Holland
1101,Noord-Holland
1102,Noord-Holland
1103,Noord-Holland
1104,Noord-Holland
1105,Noord-Holland
1106,Noord-Holland
1107,Noord-Holland
1108,Noord-Holland
1109,Noord-Holland
1110,Noord-Holland
1111,Noord-Holland
1112,Noord-Holland
1113,Noord-Holland
1114,Noord-Holland
1115,Noord-Holland
1117,Noord-Holland
1118,Noord-Holland
1119,Noord-Holland
1120,Noord-Holland
1121,Noord-Holland
1127,Noord-Holland
1130,Noord-Holland
1131,Noord-Holland
1132,Noord-Holland
1135,Noord-Holland
1140,Noord-Holland
1141,Noord-Holland
1145,Noord-Holland
1150,Noord-Holland
1151,Noord-Holland
1153,Noord-Holland
1154,Noord-Holland
1156,Noord-Holland
1160,Noord-Holland
1161,Noord-Holland
1165,Noord-Holland
1170,Noord-Holland
1171,Noord-Holland
1175,Noord-Holland
1180,Noord-Holland
1181,Noord-Holland
1182,Noord-Holland
1183,Noord-Holland
1184,Noord-Holland
1185,Noord-Holland
1186,Noord-Holland
1187,Noord-Holland
1188,Noord-Holland
1189,Noord-Holland
1190,Noord-Holland
1191,Noord-Holland
1200,Noord-Holland
1201,Noord-Holland
1202,Noord-Holland
1211,Noord-Holland
1212,Noord-Holland
1213,Noord-Holland
1214,Noord-Holland
1215,Noord-Holland
1216,Noord-Holland
1217,Noord-Holland
1218,Noord-Holland
1221,Noord-Holland
1222,Noord-Holland
1223,Noord-Holland
1230,Noord-Holland
1231,Noord-Holland
1240,Noord-Holland
1241,Noord-Holland
1243,Noord-Holland
1244,Noord-Holland
1250,Noord-Holland
1251,Noord-Holland
1252,Noord-Holland
1260,Noord-Holland
1261,Noord-Holland
1270,Noord-Holland
1271,Noord-Holland
1272,Noord-Holland
1273,Noord-Holland
1274,Noord-Holland
1275,Noord-Holland
1276,Noord-Holland
1277,Noord-Holland
1300,Flevoland
1301,Flevoland
1302,Flevoland
1303,Flevoland
1305,Flevoland
1309,Flevoland
1311,Flevoland
1312,Flevoland
1313,Flevoland
1314,Flevoland
1315,Flevoland
1316,Flevoland
1317,Flevoland
1318,Flevoland
1319,Flevoland
1320,Flevoland
1321,Flevoland
1322,Flevoland
1323,Flevoland
1324,Flevoland
1325,Flevoland
1326,Flevoland
1327,Flevoland
1328,Flevoland
1329,Flevoland
1331,Flevoland
1332,Flevoland
1333,Flevoland
1334,Flevoland
1335,Flevoland
1336,Flevoland
1338,Flevoland
1339,Flevoland
1341,Flevoland
1343,Flevoland
1349,Flevoland
1351,Flevoland
1352,Flevoland
1353,Flevoland
1354,Flevoland
1355,Flevoland
1356,Flevoland
1357,Flevoland
1358,Flevoland
1359,Flevoland
1361,Flevoland
1362,Flevoland
1363,Flevoland
1380,Noord-Holland
1381,Noord-Holland
1382,Noord-Holland
1383,Noord-Holland
1390,Utrecht
1391,Utrecht
1393,Utrecht
1394,Noord-Holland
1396,Utrecht
1398,Noord-Holland
1399,Noord-Holland
1400,Noord-Holland
1401,Noord-Holland
1402,Noord-Holland
1403,Noord-Holland
1404,Noord-Holland
1405,Noord-Holland
1406,Noord-Holland
1410,Noord-Holland
1411,Noord-Holland
1412,Noord-Holland
1420,Noord-Holland
1421,Noord-Holland
1422,Noord-Holland
1423,Noord-Holland
1424,Noord-Holland
1426,Utrecht
1427,Utrecht
1428,Zuid-Holland
1430,Noord-Holland
1431,Noord-Holland
1432,Noord-Holland
1433,Noord-Holland
1435,Noord-Holland
1436,Noord-Holland
1437,Noord-Holland
1438,Noord-Holland
1440,Noord-Holland
1441,Noord-Holland
1442,Noord-Holland
1443,Noord-Holland
1444,Noord-Holland
1445,Noord-Holland
1446,Noord-Holland
1447,Noord-Holland
1448,Noord-Holland
1451,Noord-Holland
1452,Noord-Holland
1454,Noord-Holland
1456,Noord-Holland
1458,Noord-Holland
1461,Noord-Holland
1462,Noord-Holland
1463,Noord-Holland
1464,Noord-Holland
1471,Noord-Holland
1472,Noord-Holland
1473,Noord-Holland
1474,Noord-Holland
1475,Noord-Holland
1476,Noord-Holland
1477,Noord-Holland
1481,Noord-Holland
1482,Noord-Holland
1483,Noord-Holland
1484,Noord-Holland
1485,Noord-Holland
1486,Noord-Holland
1487,Noord-Holland
1488,Noord-Holland
1489,Noord-Holland
1500,Noord-Holland
1501,Noord-Holland
1502,Noord-Holland
1503,Noord-Holland
1504,Noord-Holland
1505,Noord-Holland
1506,Noord-Holland
1507,Noord-Holland
1508,Noord-Holland
1509,Noord-Holland
1510,Noord-Holland
1511,Noord-Holland
1520,Noord-Holland
1521,Noord-Holland
1525,Noord-Holland
1530,Noord-Holland
1531,Noord-Holland
1534,Noord-Holland
1536,Noord-Holland
1540,Noord-Holland
1541,Noord-Holland
1544,Noord-Holland
1546,Noord-Holland
1550,Noord-Holland
1551,Noord-Holland
1560,Noord-Holland
1561,Noord-Holland
1562,Noord-Holland
1566,Noord-Holland
1567,Noord-Holland
1600,Noord-Holland
1601,Noord-Holland
1602,Noord-Holland
1606,Noord-Holland
1607,Noord-Holland
1608,Noord-Holland
1609,Noord-Holland
1610,Noord-Holland
1611,Noord-Holland
1613,Noord-Holland
1614,Noord-Holland
