Question,Answer1,Answer2,Answer3,Answer4,Answer5
V028,Ja,Nee,,,
V084_3,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V086_4,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V086_3,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V086_2,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V087_2,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V087_3,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V075,Ja,Nee,,,
V023_3,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V025_4,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V025_1,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V024_1,Ja,Nee,,,
V024_2,Ja,Nee,,,
V053_3,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V053_1,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V053_2,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V013_1,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V013_2,Helemaal niet mee eens,Beetje mee oneens,Neutraal,Beetje mee eens,Heel erg mee eens
V027_5,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V027_4,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V027_1,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
V027_2,Helemaal niet waar,Niet waar,Neutraal,Waar,Helemaal waar
