Question,Answer1,Answer2,Answer3,Answer4,Answer5
V028,Ja,Nee,,,
V084_3,--,-,+/-,+,++
V086_4,--,-,+/-,+,++
V086_3,--,-,+/-,+,++
V086_2,--,-,+/-,+,++
V087_2,--,-,+/-,+,++
V087_3,--,-,+/-,+,++
V075,Ja,Nee,,,
V023_3,--,-,+/-,+,++
V025_4,--,-,+/-,+,++
V025_1,--,-,+/-,+,++
V024_1,Ja,Nee,,,
V024_2,Ja,Nee,,,
V053_3,--,-,+/-,+,++
V053_1,--,-,+/-,+,++
V053_2,--,-,+/-,+,++
V013_1,--,-,+/-,+,++
V013_2,--,-,+/-,+,++
V027_5,--,-,+/-,+,++
V027_4,--,-,+/-,+,++
V027_1,--,-,+/-,+,++
V027_2,--,-,+/-,+,++
