postcode,stad,gemeente,lat,lon
1000,Amsterdam,Amsterdam,52.37777895,4.90558954
1001,Amsterdam,Amsterdam,52.37777895,4.90558954
1002,Amsterdam,Amsterdam,51.8611924,4.358999025
1003,Amsterdam,Amsterdam,51.8611924,4.358999025
1005,Amsterdam,Amsterdam,52.37777895,4.90558954
1006,Amsterdam,Amsterdam,52.37777895,4.90558954
1007,Amsterdam,Amsterdam,52.37777895,4.90558954
1008,Amsterdam,Amsterdam,52.37777895,4.90558954
1009,Amsterdam,Amsterdam,52.37777895,4.90558954
1011,Amsterdam,Amsterdam,52.36906077,4.901539921
1012,Amsterdam,Amsterdam,52.37943081,4.901488393
1013,Amsterdam,Amsterdam,52.38155761,4.895212826
1014,Amsterdam,Amsterdam,52.39119815,4.861636185
1015,Amsterdam,Amsterdam,52.37856092,4.893249783
1016,Amsterdam,Amsterdam,52.37422697,4.888657543
1017,Amsterdam,Amsterdam,52.36693165,4.894450101
1018,Amsterdam,Amsterdam,52.37023612,4.914492888
1019,Amsterdam,Amsterdam,52.36694002,4.934606179
1020,Amsterdam,Amsterdam,52.39247891,4.906595489
1021,Amsterdam,Amsterdam,52.38421363,4.91175457
1022,Amsterdam,Amsterdam,52.39037072,4.936574824
1023,Amsterdam,Amsterdam,52.39146994,4.941086181
1024,Amsterdam,Amsterdam,52.39674995,4.949052626
1025,Amsterdam,Amsterdam,52.40119478,4.948132303
1026,Amsterdam,Amsterdam,52.38385312,4.976229602
1027,Amsterdam,Amsterdam,52.42169684,4.949533559
1028,Amsterdam,Amsterdam,52.39924554,4.983767527
1030,Amsterdam,Amsterdam,52.39237933,4.892105294
1031,Amsterdam,Amsterdam,52.39127078,4.912105792
1032,Amsterdam,Amsterdam,52.3913817,4.916528382
1033,Amsterdam,Amsterdam,52.41586726,4.894530677
1034,Amsterdam,Amsterdam,52.40797825,4.912319721
1035,Amsterdam,Amsterdam,52.42296987,4.892192845
1036,Amsterdam,Amsterdam,52.40745493,4.901306377
1037,Amsterdam,Amsterdam,52.43020472,4.864417861
1040,Amsterdam,Amsterdam,52.39720833,4.854033859
1041,Amsterdam,Amsterdam,52.40882339,4.852665276
1042,Amsterdam,Amsterdam,52.40092878,4.835962922
1043,Amsterdam,Amsterdam,52.38626605,4.826738029
1044,Amsterdam,Amsterdam,52.40144054,4.811291753
1045,Amsterdam,Amsterdam,52.40536959,4.788915961
1046,Amsterdam,Amsterdam,52.3921127,4.789383963
1047,Amsterdam,Amsterdam,52.39650577,4.765587032
1051,Amsterdam,Amsterdam,52.38497363,4.879421466
1052,Amsterdam,Amsterdam,52.3847835,4.880174942
1053,Amsterdam,Amsterdam,52.37147222,4.873336615
1054,Amsterdam,Amsterdam,52.36626993,4.877290978
1055,Amsterdam,Amsterdam,52.37632576,4.844452501
1056,Amsterdam,Amsterdam,52.3709271,4.84490057
1057,Amsterdam,Amsterdam,52.36552761,4.850537742
1058,Amsterdam,Amsterdam,52.36262603,4.857829084
1059,Amsterdam,Amsterdam,52.35055608,4.849692759
1060,Amsterdam,Amsterdam,52.3794051,4.854153612
1061,Amsterdam,Amsterdam,52.36532232,4.836202428
1062,Amsterdam,Amsterdam,52.36311529,4.838938601
1063,Amsterdam,Amsterdam,52.38030105,4.835641434
1064,Amsterdam,Amsterdam,52.37392504,4.834316477
1065,Amsterdam,Amsterdam,52.36140825,4.82650447
1066,Amsterdam,Amsterdam,52.3501924,4.829451044
1067,Amsterdam,Amsterdam,52.38300055,4.806654059
1068,Amsterdam,Amsterdam,52.36484638,4.799743572
1069,Amsterdam,Amsterdam,52.34833534,4.795592192
1070,Amsterdam,Amsterdam,52.37664335,4.87172564
1071,Amsterdam,Amsterdam,52.35979881,4.871346483
1072,Amsterdam,Amsterdam,52.35913972,4.887929772
